hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dbFlags,geom_rate,nav_modes,true_heading,timestamp
a68c12,adsr_icao,N52054  ,N52054,C162,2100,2100.0,96.8,109.93,-256.0,1200,none,A1,,,,28.026215,-82.311049,8,186,0.524,,0.0,9.0,0.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1208760,0.4,-14.7,,-256.0,,,2024-09-21 18:03:03.773572+00:00
a0704a,adsb_icao,N12713  ,N12713,C172,2000,1975.0,74.9,55.89,,1200,none,A1,,,,28.052006,-82.297722,8,186,0.0,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3977160,0.0,-19.8,,512.0,,,2024-09-21 18:03:03.773572+00:00
ac3e80,adsb_icao,SWA3856 ,N8884Q,B38M,10900,11375.0,322.0,196.97,-128.0,2161,none,A3,1012.8,8992.0,206.02,28.344354,-82.292229,8,186,0.021,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],29163759,0.0,-7.0,,,,,2024-09-21 18:03:03.773572+00:00
a451c1,adsb_icao,N378CM  ,N378CM,C510,8000,8300.0,275.5,3.33,0.0,7445,none,A1,1013.6,8000.0,,28.365555,-82.279939,9,75,0.021,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],651533,0.0,-12.0,,,,,2024-09-21 18:03:03.773572+00:00
ad09b9,adsb_icao,N9392C  ,N9392C,P28A,2950,2925.0,96.9,121.07,,4543,none,A1,,,,27.901735,-82.251522,9,75,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],525265,0.0,-3.5,,0.0,,,2024-09-21 18:03:03.773572+00:00
a1cc84,adsb_icao,N215EL  ,N215EL,PIAT,2800,2875.0,102.2,329.42,-1024.0,1200,none,B4,1012.8,2816.0,,27.610877,-82.194531,9,75,0.403,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],844052,0.4,-25.5,,,[],,2024-09-21 18:03:03.773572+00:00
a7da61,adsb_icao,N605FT  ,N605FT,P28A,950,800.0,90.5,249.96,,1200,none,A1,,,,28.010971,-82.184759,9,75,0.39,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1699685,0.4,-17.1,,-832.0,,,2024-09-21 18:03:03.773572+00:00
a81d69,adsb_icao,N6218E  ,N6218E,C172,2500,2550.0,61.5,187.47,,1200,none,A1,,,,28.449748,-82.183874,7,371,0.0,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],740093,0.0,-22.3,,-256.0,,,2024-09-21 18:03:03.773572+00:00
abbc52,adsb_icao,SWA2380 ,N8550Q,B738,22525,23700.0,445.3,257.68,1856.0,3224,none,A3,1013.6,24000.0,265.78,28.241226,-82.173562,8,186,0.091,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],30091135,0.0,-13.5,,,,,2024-09-21 18:03:03.773572+00:00
a228e6,adsb_icao,N2382R  ,N2382R,C172,1900,1775.0,93.2,51.53,-448.0,1200,none,A1,,,,27.964462,-82.169125,9,75,0.623,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['baro_rate'],3650987,0.5,-9.8,,-640.0,,,2024-09-21 18:03:03.773572+00:00
a6fd03,adsb_icao,N5499W  ,N5499W,P28A,2450,2625.0,121.5,193.81,,1200,none,A1,,,,28.413717,-82.16901,9,75,0.0,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,1.0,0.0,[],[],265907,0.0,-12.8,,-256.0,,,2024-09-21 18:03:03.773572+00:00
a64272,adsb_icao,N502MA  ,N502MA,ULAC,3025,3050.0,117.7,49.13,-64.0,1200,none,A1,,,,27.287109,-82.168665,10,25,0.076,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],172665,0.1,-18.0,,,,,2024-09-21 18:03:03.773572+00:00
a7c6e6,adsb_icao,N60WM   ,N60WM,RV6,8500,8525.0,157.1,305.41,,1200,none,A1,,,,28.519577,-82.167717,9,75,0.324,2.0,0.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],206288,0.0,-14.6,,192.0,,,2024-09-21 18:03:03.773572+00:00
a23b5d,adsr_icao,N243CG  ,N243CG,PA25,800,700.0,68.0,138.58,-192.0,1200,none,A1,,,,28.210749,-82.163301,8,186,5.429,,0.0,9.0,0.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],240318,5.4,-7.5,,-576.0,,,2024-09-21 18:03:03.773572+00:00
a50043,adsb_icao,N421KM  ,N421KM,C421,1900,1800.0,141.9,276.47,,1200,none,A1,,,,28.023051,-82.159639,9,75,0.648,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],273597,0.5,-17.3,,-256.0,,,2024-09-21 18:03:03.773572+00:00
a199dd,adsb_icao,N202EH  ,N202EH,DHC6,1450,1425.0,77.9,15.64,768.0,0246,none,A1,1013.6,,156.8,28.251114,-82.147628,9,75,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5181524,0.0,-13.8,,,,,2024-09-21 18:03:03.773572+00:00
0c206a,adsb_icao,CMP393  ,HP-1728CMP,B738,10975,11450.0,306.0,320.17,-128.0,0170,none,A3,1012.8,11008.0,322.03,27.438446,-82.145915,8,186,0.076,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],10674404,0.1,-9.0,,,,,2024-09-21 18:03:03.773572+00:00
a6a1af,adsb_icao,N52606  ,N52606,C172,2575,2525.0,115.5,196.08,-256.0,1200,none,A1,,,,27.402008,-82.13524,9,75,0.597,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],7791506,0.1,-15.0,,,,,2024-09-21 18:03:03.773572+00:00
a66656,adsb_icao,N511ND  ,N511ND,C172,2550,2575.0,98.7,353.02,0.0,1200,none,A1,,,,27.751884,-82.115461,9,75,0.425,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],2951751,0.0,-15.8,,,,,2024-09-21 18:03:03.773572+00:00
a5d910,adsr_icao,N476TC  ,N476TC,C152,8900,9225.0,89.9,331.44,128.0,1200,none,A1,,,,28.546097,-82.108278,0,0,5.266,,,,0.0,,,,,0.0,0.0,"['callsign', 'squawk']",[],2670846,0.8,-10.1,,,,,2024-09-21 18:03:03.773572+00:00
ad2ad5,adsb_icao,N94790  ,N94790,C152,1750,1650.0,80.8,40.99,-192.0,4761,none,A1,1013.6,1696.0,70.31,27.916213,-82.097819,9,75,0.192,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3802048,0.2,-9.6,,,,,2024-09-21 18:03:03.773572+00:00
a92478,adsb_icao,UAL688  ,N68880,B739,26000,27425.0,459.5,18.4,0.0,5743,none,A3,1013.6,26016.0,23.91,28.669601,-82.075688,8,186,0.0,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],23827408,0.0,-13.5,,,,,2024-09-21 18:03:03.773572+00:00
acbc25,adsb_icao,N92DJ   ,N92DJ,E55P,13300,13850.0,316.2,322.84,-1664.0,4647,none,A1,1012.8,11008.0,,27.348404,-82.063414,9,75,0.325,2.0,1.0,10.0,2.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],4893892,0.1,-13.7,,,"['vnav', 'tcas']",,2024-09-21 18:03:03.773572+00:00
a939e8,adsb_icao,DAL1153 ,N694DL,B752,30600,32175.0,456.8,328.15,2048.0,2346,none,A4,1013.6,38016.0,345.23,28.032408,-82.04746,8,186,0.091,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],19097012,0.1,-14.5,,,,,2024-09-21 18:03:03.773572+00:00
ac8a1f,adsb_icao,N907KS  ,N907KS,C172,2600,2600.0,93.1,298.22,128.0,1200,none,A1,1013.6,2496.0,180.0,28.283478,-82.038557,9,75,0.0,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5402538,0.0,-11.4,,,,,2024-09-21 18:03:03.773572+00:00
a74764,adsb_icao,SCX3046 ,N5683A,B738,ground,,0.0,,,3622,none,A3,,,,27.991395,-82.033283,8,186,5.429,2.0,,10.0,1.0,3.0,perhour,,2.0,,,[],[],22774115,3.5,-19.7,,,,90.0,2024-09-21 18:03:03.773572+00:00
abe862,adsb_icao,N8666Y  ,N8666Y,PA30,9500,9875.0,151.1,181.9,,1200,none,A1,,,,28.215311,-82.028288,9,75,0.091,2.0,0.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],922841,0.0,-15.5,8.0,-384.0,,,2024-09-21 18:03:03.773572+00:00
a8ea6d,adsb_icao,N67387  ,N67387,C152,7600,7800.0,90.2,328.6,,1200,none,A1,,,,28.399565,-82.005238,9,75,0.0,2.0,0.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],4001342,0.0,-14.4,,128.0,,,2024-09-21 18:03:03.773572+00:00
a772c8,adsb_icao,N5794M  ,N5794M,C310,1200,1150.0,118.1,272.43,-384.0,1200,none,A1,1013.6,,350.86,27.957691,-82.005023,9,75,0.425,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],16083,0.4,-8.9,,,,,2024-09-21 18:03:03.773572+00:00
